Topic,Titles,Question,OptionA,OptionB,OptionC,OptionD,Answer
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,Radius of gyration is denoted by __________,k,g,y,s,k
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,The __________ is the distance between Centres to centre of effective lateral ends.,Mean length, Stripped length, True length,Actual length,Actual length
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,The slenderness ratio is the ratio of effective length to least ______________,Ultimate load,Actual length,Radius of gyration,Factor of safety,Radius of gyration
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,Which of the following is also known as working load?,Safe load,Crippling load,Ultimate load,Buckling load,Safe load
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,Factor of safety is a ratio of crippling load to __________ load.,Critical load,Buckling load,Safe load,Ultimate load,Safe load
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,"At ____ load, the column is said to have developed an elastic instability.",Safe,Working,Factored,Crippling,Crippling
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,The value of ____ is relatively high for short columns.,Safe load,Factored load,Working load,Buckling load,Buckling load
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,The slenderness ratio is _____ to critical stress.,Directly proportional,Inversely proportional,Equal,Transverse,Inversely proportional
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,"For a given material length, end conditions and equal area the shape of column which is most efficient as per Euler’s is _________",Square,Circular,I section,Tubular,Tubular
Strength Of Materials,Euler’s Theory at Critical Load with Effective Length,What is the rankines constant for cast iron?, 1/2000, 1/2400, 1/ 1600,1/ 1800, 1/ 1600
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Calculate the horizontal water pressure acting on a dam. The total depth of water be 13m. Take specific weight of water be 10kN/m3.,765 kN,845 kN,965 kN,1175 kN,845 kN
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Calculate the self-weight of a rectangular dam of 22m high and 8m wide. It contains water upto a height of 20m. Consider the specific weight of masonry be 25 kN/m3.,3560 kN,5432 kN,4400 kN,5680 kN,4400 kN
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,The  pressure intensity of water at free surface is ________,Zero,Maximum,Minimum,Uniform,Zero
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Self weight of dam acts in ___ direction.,Vertical,Horizontal,Inclined,Parallel,Vertical
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,The maximum compressive stresses developed at the base of the dam should not exceed permissible_____ stresses for masonry.,Tensile,Crippling,Compressive,Shear,Compressive
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,For no _______ to develop in the dam section the resultant should always lie within middle third.,Compression,Tension,Shear,Buckling,Tension
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Calculate the self weight of trapezoidal dam with top width 5m and bottom width 8m. The height of dam is 15 m. Consider specific weight of masonry be 25kN/m3.,3456.5 kN,2768.5 kN,2437.5 kN,3450 kN,2437.5 kN
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,The material(earth) retained by the retaining wall is called as____,Surcharge,Turf,Foliate,Back fill,Back fill
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,The inclination of surcharge to the horizontal is called______,Surcharge elevation,Surcharge angle,Surcharge factor,Surcharge depression,Surcharge angle
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Which of the following is practical pressure?,Active earth pressure,Passive earth pressure,Soil moisture tension, Horizontal water pressure,Active earth pressure
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,The angle of internal friction for water is____,180°,100°, 0°,270°, 0°
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Which of the following is theoretical pressure?,Active earth pressure,Passive earth pressure,Soil Tension,Horizontal water pressure,Passive earth pressure
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Which of the following is an example for plasticizer?,Ca,Mg,Zn,Hg,Ca
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,_______ curing is adopted for columns and walls.,Moist curing,Membrane curing,Ponding,Descending stage,Moist curing
Strength Of Materials,Trapezoidal Dam as Vertical Side Phase,Prestressed concrete is an example of _____,Malleability,Ductility,Fatigue,Plasticity,Fatigue
Strength Of Materials,Analyse Propped Cantilever,"In cantilever beams, the extra support is known as ____",Hinch,Prop,Cripple,Indeterminate end,Prop
Strength Of Materials,Analyse Propped Cantilever,Prop reduces ___ in the beam.,Deflection,Slope,Shear,Moment,Deflection
Strength Of Materials,Analyse Propped Cantilever,Which of the following is indeterminate structure?,Singly rereinforced beam,Propped cantilever beam,Over hanging beam, Simply supported beam,Propped cantilever beam
Strength Of Materials,Analyse Propped Cantilever,____ is used to produce due to temperature variation in indeterminate structures.,Stresses,Strains,Deflections,Moment,Stresses
Strength Of Materials,Analyse Propped Cantilever,"In cantilever beams, the  maximum deflection  occurs at  ____",Fixed end,Free end,Through out,Point of loading,Free end
Strength Of Materials,Analyse Propped Cantilever,"As per IRC, maximum width of lane considered as ____",2.44 m,2.35 m,3.5 m,3.4 m,2.44 m
Strength Of Materials,Analyse Propped Cantilever,______ is the area of land acquired and reserved for future development.,Right of pier,Carriage way,Right of way,Camber,Right of way
Strength Of Materials,Analyse Propped Cantilever,Stability of high rise vehicles will be affected due to ____,Camber,Gradient,Super elevation,Formation Width,Camber
Strength Of Materials,Analyse Propped Cantilever,The longitudinal rise or fall off road surface along its length is _________,Camber,Super elevation,Gradient,Carriage way,Gradient
Strength Of Materials,Analyse Propped Cantilever,Which of the following gradient is usually used in construction of roads?,Exceptional gradient,Limiting gradient,Hydraulic gradient,Ruling gradient,Ruling gradient
Strength Of Materials,Analyse Propped Cantilever,"According to IRC, the height of the object is taken to the height of ___mm.",200 mm,100 mm,450 mm,600 mm,100 mm
Strength Of Materials,Analyse Propped Cantilever,What is the minimum shoulder width provided for village roads?,1.25 m,1.4 m,0.5 m,1 m,0.5 m
Strength Of Materials,Analyse Propped Cantilever,"In case of vertical curves, the ____ are taken above the road.",Gradient,Super elevation,Earth quantities,Summit,Earth quantities
Strength Of Materials,Analyse Propped Cantilever,The time required for overtaking ___ seconds.,9  to 14,8 to 10,11 to 15,14 to 19,9  to 14
Strength Of Materials,Analyse Propped Cantilever,_____ provide gradual introduction of super elevation.,Transition curves,Summit curves,Joint curves,Adjoining curves,Transition curves
Strength Of Materials,Trusses – 1, ________ is a framed structure composed of members.,Purlin,Gussets,Ridge tops,Truss,Truss
Strength Of Materials,Trusses – 1,Trusses are subjected to ____ stress.,Compressive,Tensile,Direct,Lateral,Direct
Strength Of Materials,Trusses – 1,Trusses are adopted for ____ span.,Medium,Short,Very large,Large,Very large
Strength Of Materials,Trusses – 1,The top line of roof truss is called as ____,Eves,Main tie,Pitch,Ridge line,Ridge line
Strength Of Materials,Trusses – 1,"If the members connected don’t lie in a same plane, then structures is called __________",Space truss,Plane truss,Main truss,Foot truss,Space truss
Strength Of Materials,Trusses – 1,King post trusses are used for spans ______,5 to 8 m,6 to 9 m,4 to 6 m,6 to 8 m,6 to 9 m
Strength Of Materials,Trusses – 1,________ shape of frame offers great rigidity.,Trapezoidal,Triangular,Rectangular,Square,Triangular
Strength Of Materials,Trusses – 1,Which of the following roof are used on small sheds and veranda opening?,Couple roof,Collar roof, Pent roof,Purlin roof, Pent roof
Strength Of Materials,Trusses – 1,The joints in king post are of ________,Butt,Welded,Mortice and tenon,Lap,Mortice and tenon
Strength Of Materials,Trusses – 1,About ____________ % volume of concrete is occupied by aggregates.,60%,50%,75%,30%,75%
Strength Of Materials,Trusses – 1,Which of the following cement is used for marine structures?,Rapid hardening cement,Hydrophobic cement,High Alumina cement,Super sulphated cement,High Alumina cement
Strength Of Materials,Trusses – 1,IS: 455 is associated with ____________,Portland slag cement,Ordinary Portland cement,High alumina cement,Super sulphated cement,Portland slag cement
Strength Of Materials,Trusses – 1,Which of the following is used as retarding admixture?,Calcium chloride,Fluosilicates,Treitanlamine,Starch,Starch
Strength Of Materials,Trusses – 1,Polyhydroxy compounds are ________, Accelerating admixtures,Retarding admixtures,Water reducing admixtures,Air entraining admixtures,Water reducing admixtures
Strength Of Materials,Trusses – 1,Plasticizing admixture means __________,Accelerating admixtures, Water reducing admixtures,Air in training admixtures,Superplasticizers, Water reducing admixtures
Strength Of Materials,Bending Stress in Unsymmetrical Sections,Unsymmetrical bending occurs due to ______,The Beam cross section is unsymmetrical,The shear Centre does not coincide with neutral axis,The Beam is subjected to trust in addition to bending moment,The bending moment diagram is unsymmetrical,The bending moment diagram is unsymmetrical
Strength Of Materials,Bending Stress in Unsymmetrical Sections,A body having similar properties throughout its volume is said to be___,Isotropic,Homogeneous,Continuous,Uniform,Homogeneous
Strength Of Materials,Bending Stress in Unsymmetrical Sections,Principal plane has____,Maximum shear stress,Maximum tensile stress,Zero shear stress,Minimum bending stress,Zero shear stress
Strength Of Materials,Bending Stress in Unsymmetrical Sections,Calculate the Strain energy that can be stored in a body to be pulled with 100 N/mm2 stress (f) and E = 2×105 N/mm2.,0.9 kNm,0.05kNm,0.87kNm,0.54kNm,0.05kNm
Strength Of Materials,Bending Stress in Unsymmetrical Sections,Materials exhibiting time bound behaviour are known as_______,Isentropic,Reactive,Fissile,Visco elastic,Visco elastic
Strength Of Materials,Bending Stress in Unsymmetrical Sections,What are the units of true strain?,Kg/m2,Kg/ m3,No dimensions,N/mm,No dimensions
Strength Of Materials,Bending Stress in Unsymmetrical Sections,Revert size is generally expressed in terms of_______,Shank width,Girder length,Lap length,Shank diameter,Shank diameter
Strength Of Materials,Bending Stress in Unsymmetrical Sections,________ joints are necessary to keep a structure safe against shrinkage.,Construction,Functional,Transverse,Longitudinal,Functional
Strength Of Materials,Bending Stress in Unsymmetrical Sections,The specific gravity of sand is __________,2.8,2.25,3.2,2.65,2.65
Strength Of Materials,Bending Stress in Unsymmetrical Sections,To what radius a silver strip 200 mm wide and 40 mm thick can be bent if the maximum stress in the ship is 80 N/mm2. Young’s modulus for Silver is 80×103 N/mm2.,20m,30m,15m,35m,20m
Strength Of Materials,Dams,The obstruction or a barrier built across the stream or river is called as____,Barrage,Weir,Dam,Reservoir,Dam
Strength Of Materials,Dams,FTL Stands for ________,Free tank level,Full tank level,Full top level,Fill toe level,Full tank level
Strength Of Materials,Dams,_______ is openings extending from upstream to downstream of dam.,Guide banks,Divide voids,Sluices,Spillway,Sluices
Strength Of Materials,Dams,Water stored in dam is expressed in _______,Mega cumec metres,Million cubic metres,Metric cumec,Million cusec metres,Million cubic metres
Strength Of Materials,Dams,MDDL Stands for ________,Minimum draw down level,Maximum draw down level,Million drop down level,Mega drop down level,Minimum draw down level
Strength Of Materials,Dams,_____ dam which resists are the external forces by virtue of its self weight.,Earthen dam,Storage dam,Detention dam,Gravity dam,Gravity dam
Strength Of Materials,Dams,The factor of safety against overturning should not be less than ______,1.8,2.25,1.5,1.75,1.5
Strength Of Materials,Dams,"In sliding failure, the co-efficient of friction varies from ________",0.65 – 0.75,0.8 – 0.9,0.45 – 0.65,0.85 – 1,0.65 – 0.75
Strength Of Materials,Dams,Which of the following forces do not act on dam?,Silt pressure,Wave pressure,Creep pressure,Uplift,Creep pressure
Strength Of Materials,Dams,The elementary profile of a dam is generally a ________,Isosceles triangle,Right angled triangle,Scalene triangle,Equilateral triangle,Right angled triangle
Strength Of Materials,Dams,_____ acts as inspection chamber in Dams.,Spillway,Heel,Drainage gallery,Toe,Drainage gallery
Strength Of Materials,Dams,The minimum standard height for construction joint is about ________,1.2 m,1.5 m,2.1 m,2.3 m,1.5 m
Strength Of Materials,Dams,Cracks developed in the body of dam section can be avoided by ________,Construction joints,Contraction joints,Transverse joints,Longitudinal joints,Contraction joints
Strength Of Materials,Dams,______ is the over flow section or portion of the dam.,Heel,Toe,Spillway,Gallery,Spillway
Strength Of Materials,Dams,_______ is common type of spillway used in gravity dams.,Ogee spillway,Trough spillway,Side channel spillway,Emergency spillway,Ogee spillway
Strength Of Materials,Bars of varying sections,If a bar of two different length are in a line and P load is acting axially on them then what will be the change in length of the bar if the radius of both different lengths is same?,P/E x (L1 + L2),PA/E x (L1 + L2),P/EA x (L1 + L2),E/PA x (L1 + L2),P/EA x (L1 + L2)
Strength Of Materials,Bars of varying sections,If a bar of two sections of different diameters of same length are in a line and P load is acting axially on them then what will be the change in length of the bar?,PL/E x (1/A1 + 1/A2),P/E x (1/A1 + 1/A2),P/EL x (1/A1 + 1/A2),PE/L x (1/A1 + 1/A2),PL/E x (1/A1 + 1/A2)
Strength Of Materials,Bars of varying sections,Does the value of stress in each section of a composite bar is constant or not?,It changes in a relationship with the other sections as well,It changes with the total average length,It is constant for every bar,It is different in every bar in relation with the load applied and the cross sectional area,It is different in every bar in relation with the load applied and the cross sectional area
Strength Of Materials,Bars of varying sections,A composite bar of two sections of equal length and equal diameter is under an axial pull of 10kN. What will be the stresses in the two sections?,3.18 N/mm2,2.21 N/mm2,3.45 N/mm2,2.14 N/mm2,3.18 N/mm2
Strength Of Materials,Bars of varying sections,A composite bar of two sections of unequal length and equal diameter is under an axial pull of 10kN. What will be the stresses in the two sections?,2.145 N/mm2,3.18 N/mm2,1.245 N/mm2,2.145 N/mm2,3.18 N/mm2
Strength Of Materials,Bars of varying sections,A composite bar of two sections of equal length and given diameter is under an axial pull of 15kN. What will be the stresses in the two sections in N/mm2?,hg190.9 and 84.88,190.9 and 44.35,153.45 and 84088,153045 and 44.35,hg190.9 and 84.88
Strength Of Materials,Definition of Strain Energy,What is the strain energy stored in a body due to gradually applied load?,σE/V,σE2/V,σV2/E,σV2/2E,σV2/2E
Strength Of Materials,Definition of Strain Energy,Strain energy stored in a body to uniform stress s of volume V and modulus of elasticity E is,s2V/2E,sV/E,sV2/E,sV/2E,s2V/2E
Strength Of Materials,Definition of Strain Energy,"In a material of pure shear stress τthe strain energy stored per unit volume in the elastic, homogeneous isotropic material having elastic constants E and v will be:",τ2/E x (1+ v),τ2/E x (1+ v),τ2/2E x (1+ v),τ2/E x (2+ v),τ2/E x (1+ v)
Strength Of Materials,Definition of Strain Energy,PL3/3EI is the deflection under the load P of a cantilever beam. What will be the strain energy?,P2L3/3EI,P2L3/6EI,P2L3/4EI,P2L3/24EI,P2L3/6EI
Strength Of Materials,Definition of Strain Energy,"A rectangular block of size 400mm x 50mm x 50mm is subjected to a shear stress of 500kg/cm2. If the modulus of rigidity of the material is 1×106 kg/cm2 , the strain energy will be",a125 kg-cm,1000 kg-cm,500 kg-cm,100 kg-cm,a125 kg-cm
Strength Of Materials,Definition of Strain Energy,A material of youngs modulus and Poissons ratio of unity is subjected to two principal stresses σ1 and σ2 at a point in two dimensional stress system. The strain energy per unit volume of the material is,(σ12 + σ22 – 2σ1σ2 ) / 2E,(σ12 + σ22 + 2σ1σ2 )  / 2E,(σ12 – σ22 – 2σ1σ2 )  / 2E,(σ12 – σ22 – 2σ1σ2 ) / 2E,(σ12 + σ22 – 2σ1σ2 ) / 2E
Strength Of Materials,Definition of Strain Energy,"If forces P, P and P of a system are such that the force polygon does not close, then the system will",Be in equilibrium,Reduce to a resultant force,Reduce to a couple,Not be in equilibrium,Not be in equilibrium
Strength Of Materials,Definition of Strain Energy,The strain energy in a member is proportional to,Product of stress and the strain,Total strain multiplied by the volume of the member,The maximum strain multiplied by the length of the member,Product of strain and Youngs modulus of the material,Product of strain and Youngs modulus of the material
Strength Of Materials,Definition of Strain Energy,A bar of cross-section A and length L is subjected to an axial load W. the strain energy stored in the bar would be,WL / AE,W2L / 4AE,W2L / 2AE,WL / 4AE,W2L / 2AE
Strength Of Materials,Definition of Strain Energy,A tensile load of 60kN is gradually applied to a circular bar of 4cm diameter and 5m long. What is the stretch in the rod if E = 2×105 N/mm2?,1.1mm,1.24mm,2mm,1.19mm,1.19mm
Strength Of Materials,Definition of Strain Energy,A tensile load of 50kN is gradually applied to a circular bar of 5cm diameter and 5m long. What is the strain energy absorbed by the rod ( E = 200GPa ) ?,S14N-m,15.9 N-mm,15.9 N-m,14 N-mm,15.9 N-m
Strength Of Materials,Definition of Strain Energy,A tensile load of 60kN is gradually applied to a circular bar of 4cm diameter and 5m long. What is the strain energy in the rod if the load is applied suddenly (E = 2×105 N/mm2) ?,d143.23 N-m,140.51 N-m,135.145 N-m,197.214 N-m,d143.23 N-m
Strength Of Materials,Power of Shaft,Calculate the power transmitted in the shaft at 150 rpm. Take torque as 9000Nm.,140 kW,150 kW,160 kW,175 kW,140 kW
Strength Of Materials,Power of Shaft,Which of the following is not a cross drainage work?,Aqueduct,Head regulator,Super passage,Level crossing,Head regulator
Strength Of Materials,Power of Shaft,Stucco is a type of_________,Varnishing,Distempering,Plastering,Whitewashing,Plastering
Strength Of Materials,Power of Shaft,The thickness of cement plaster should not be more than _______,15 mm,12 mm,16 mm,20 mm,12 mm
Strength Of Materials,Power of Shaft,__________ mm thick plastering is done for stone masonry.,10 mm,15 mm,18 mm,20 mm,20 mm
Strength Of Materials,Power of Shaft,The thickness of lime plaster varies from _______ to ________mm.,15 – 20 mm,12 – 15 mm,18 – 25 mm,20 – 25 mm,20 – 25 mm
Strength Of Materials,Power of Shaft,Which of the following plastering is widely adopted in rural areas?,Stucco Plastering,Mud plastering,Lime plastering,Asphalt plastering,Mud plastering
Strength Of Materials,Power of Shaft,Which of the following blasters contains pulverized alum?,Water proof plaster,Plaster on lathe,C plaster,Marble plaster,Water proof plaster
Strength Of Materials,Power of Shaft,Which of the following is known as” laying trowel”?,Float,Gauge trowel,Floating Rule,Skimming float,Float
Strength Of Materials,Power of Shaft,_________ is used to check level of plastered surface.,Gauging trowel,Plumb bob,Floating Rule,Float,Floating Rule
Strength Of Materials,Power of Shaft,Skimming float is  ____________,Wooden float,Metalled float,Tempered steel float,Asbestos cement sheet,Wooden float
Strength Of Materials,Power of Shaft,Which of the following is a defect in plastering?,Flaking,Scrap,Rust,Staining,Flaking
Strength Of Materials,Power of Shaft,________ is a process of mixing various constituents of plaster.,Grazing,Blistering,Gauging,Hacking,Gauging
Strength Of Materials,Power of Shaft,The small projections of plaster is known as ________,Back,Dado,Dot,Hack,Dot
Strength Of Materials,Power of Shaft,______ openings or indentations of corrugations in plaster.,Helms,Grains,Keys,Flake,Keys
Strength Of Materials,Deflection of Fixed Beam,"In fixed beams, the maximum deflection at ____ is reduced.",Centre,Supports,At point of loading,Through out,Centre
Strength Of Materials,Deflection of Fixed Beam,Fixing couples means _____,End moments,Support couples,Support moments,End supports,Support moments
Strength Of Materials,Deflection of Fixed Beam,____ is provided to prevent the debris entering into the penstock.,Tash rack,Surge tank,Anchor blocks,Power house,Tash rack
Strength Of Materials,Deflection of Fixed Beam,______ regulates the speed of turbine.,Tail race,Anchor blocks,Power house,Surge tank,Surge tank
Strength Of Materials,Deflection of Fixed Beam,The sheet of water flowing through a notch is called ________,Sill,Crest, Scour, Nappe, Nappe
Strength Of Materials,Deflection of Fixed Beam, Which of the following is empirical formula coined by Francis?,2.36 LH3/2,1.84 LH3/2,3.34 LH3/2,1.96 LH3/2,1.84 LH3/2
Strength Of Materials,Deflection of Fixed Beam,Calculate discharge of a weir 2 metre long with a water flow over a head of 250 mm use Francis formula.,0.34 m3/s,0.46 m3/s,0.25 m3/s,0.65 m3/s,0.46 m3/s
Strength Of Materials,Deflection of Fixed Beam,1 litre = ____ m3.,104,103,10-3,10-4,10-3
Strength Of Materials,Deflection of Fixed Beam,"In cipoletti weir, the side slopes are _______________",1 in 3,1 in 2,1 in 5,1 in 4,1 in 4
Strength Of Materials,Deflection of Fixed Beam,The flow of thick oil through a small tube is an example for ___,Laminar flow,Turbulent flow,Rotational flow,Steady flow,Laminar flow
Strength Of Materials,Deflection of Fixed Beam,Flow in rivers is an example of ____ flow.,Rotational,Laminar,Compressible,Turbulent,Turbulent
Strength Of Materials,Deflection of Fixed Beam,What is the point of contraflexure in a fixed beam of span 5m?,3m,2.75 m,3.75 m,4 m,3.75 m
Strength Of Materials,Deflection of Fixed Beam,Water table should be at least ____ m below subgrade.,1.5m,3 m,1.2 m,2.5 m,1.2 m
Strength Of Materials,Deflection of Fixed Beam,Torsteel is an example of _______,Elasticity,Plasticity,Malleability,Ductility,Ductility
Strength Of Materials,Maximum Shear Stress – 2,Calculate the maximum shear force for square beam of side is 320 mm.  If the shear force is 94kN.,1.37N/mm2,2.36N/mm2,5.21N/mm2,4.32N/mm2,1.37N/mm2
Strength Of Materials,Maximum Shear Stress – 2,A simply supported beam of span 8 metres carries a udl of 16 kN/m at a point out of 60 kN acting at it’s centre. Calculate the maximum shear force.,87kN,45kN,78kN,94kN,94kN
Strength Of Materials,Maximum Shear Stress – 2,The ratio of creep strain to elastic strain is known as ___________,Creep factor,Creep postulate,Creep coefficient,Creep variable,Creep coefficient
Strength Of Materials,Maximum Shear Stress – 2,Poisson’s  ratio for high strength concrete is __________,0.049,0.095,0.1,0.1111,0.1
Strength Of Materials,Maximum Shear Stress – 2,Partial safety factor for concrete is taken as _____,1.3,1.2,1.5,1.6,1.5
Strength Of Materials,Maximum Shear Stress – 2,The design compressive strength of concrete is ____ times of characteristic compressive strength of concrete.,0.313,0.253,0.466,0.411,0.466
Strength Of Materials,Maximum Shear Stress – 2,"In cantilever beams, the steel bars are placed at ____",Bottom of the beam,Top of the Beam,Midspan of the Beam,Near supports,Top of the Beam
Strength Of Materials,Maximum Shear Stress – 2,Calculate the level arm factor of a section of M20 grade and if Fe 415 Steel.[ Take critical neutral axis factor as 0.289 ].,0.78,0.9,0.58,0.73,0.9
Strength Of Materials,Maximum Shear Stress – 2,STATEMENT: “Working stress method is based on elastic theory assumptions”. Is the above statement ,True,False,w AnswerAnswer: a,"lanation: Working stress method is based on elastic theory assuming reinforced concrete as elastic material. The stress strain curve of concrete is assumed as linear from zero at the neutral axis to a maximum value at the extreme fibre. In working stress method, members are designed for working loads such that the stresses developed are within the allowable stress.","lanation: Working stress method is based on elastic theory assuming reinforced concrete as elastic material. The stress strain curve of concrete is assumed as linear from zero at the neutral axis to a maximum value at the extreme fibre. In working stress method, members are designed for working loads such that the stresses developed are within the allowable stress."
Strength Of Materials,Maximum Shear Stress – 2,Modular ratio method is also known as ______,Ultimate stress method,Limit state method,Working stress method,Stress and strain method,Working stress method
Strength Of Materials,Maximum Shear Stress – 2,Find the moment of inertia about centroid axis of a triangular section are having base 100 mm and height 150 mm.  ,9.21×106mm4,9.45×106mm4,9.37×106 mm4,8.51×106 mm4,9.37×106 mm4
Strength Of Materials,Maximum Shear Stress – 2,The stress corresponding to ______ of strain in the stress-strain curve of mild steel is known as proof stress.,0.2%,0.32%,0.5%,0.6%,0.2%
Strength Of Materials,Maximum Shear Stress – 2,__________is the device used for measuring normal stresses on the surface of a stressed object.,Nephelometer,Straining appurtenances,Resistance strain gauge,Volt-Hypsometer gauge,Resistance strain gauge
Strength Of Materials,Maximum Shear Stress – 2,The compressive strength of brittle materials is ______ its tensile strength.,Less than,Greater than,Equal to,Depends on material,Greater than
Strength Of Materials,Maximum Shear Stress – 2,The breaking stress is _______ the ultimate stress.,Less than,Greater than,Depends on time,Equal to,Less than
Strength Of Materials,Moment of Inertia of Section,What is the moment of inertia of a circular section?,πD4/64,πD3/32,πD3/64,πD4/32,πD4/64
Strength Of Materials,Moment of Inertia of Section,What is the moment of inertia of a rectangular section about an horizontal axis through C.G?,bd3/6,bd2/12,b2d2/12,bd3/12,bd3/12
Strength Of Materials,Moment of Inertia of Section,What is the moment of inertia of a rectangular section about an horizontal axis passing through base?,bd3/12,bd3/6,bd3/3,bd2/3,bd3/3
Strength Of Materials,Moment of Inertia of Section,What is the moment of inertia of a triangular section about the base ?,bh2/12,bh3/12,bh3/6,bh2/6,bh3/12
Strength Of Materials,Moment of Inertia of Section,What is the moment of inertia of a triangular section about an axis passing through C.G. and parallel to the base?,bh3/12,bh3/24,bh3/36,bh3/6,bh3/36
Strength Of Materials,Moment of Inertia of Section,What will be the moment of inertia of a circle in cm4 of diameter is 10cm ?,a340,410,460,490,490
Strength Of Materials,Moment of Inertia of Section,What will be the moment of inertia of the given rectangle about an horizontal axis passing through the base?  ,1500 mm4,1650 mm4,1666 mm4,1782 mm4,1666 mm4
Strength Of Materials,Moment of Inertia of Section,"What will be the difference between MOI of two triangle sections is in 1st , MOI is taken about its base and in 2nd MOI is taken about its centroid ?",bh3/12,bh3/18,bh3/36,bh3/24,bh3/18
Strength Of Materials,Bending Stress,"A beam is said to be of uniform strength, if",B.M. is same throughout the beam,Shear stress is same through the beam,Deflection is same throughout the beam,Bending stress is same at every section along its longitudinal axis,Bending stress is same at every section along its longitudinal axis
Strength Of Materials,Bending Stress,"Stress in a beam due to simple bending, is",Directly proportional,Inversely proportional,Curvilinearly related,None of the mentioned,Directly proportional
Strength Of Materials,Bending Stress,Which stress comes when there is an eccentric load applied?,Shear stress,Bending stress,Tensile stress,Thermal stress,Bending stress
Strength Of Materials,Bending Stress,What is the expression of bending equation?,M/I = σ/y = E/R,M/R = σ/y = E/I,M/y = σ/R = E/I,M/I = σ/R = E/y,M/I = σ/y = E/R
Strength Of Materials,Bending Stress,"On bending of a beam, which is the layer which is neither elongated nor shortened?",Axis of load,Neutral axis,Center of gravity,None of the mentioned,Neutral axis
Strength Of Materials,Bending Stress,The bending stress is,Directly proportional to the distance of layer from the neutral layer,Inversely proportional to the distance of layer from the neutral layer,Directly proportional to the neutral layer,Does not depend on the distance of layer from the neutral layer,Directly proportional to the distance of layer from the neutral layer
Strength Of Materials,Bending Stress,Consider a 250mmx15mmx10mm steel bar which is free to expand is heated from 15C to 40C. what will be developed?,Compressive stress,Tensile stress,Shear stress,No stress,No stress
Strength Of Materials,Bending Stress,"The safe stress for a hollow steel column which carries an axial load of 2100 kN is 125 MN/m2. if the external diameter of the column is 30cm, what will be the internal diameter?",25 cm,26.19cm,30.14 cm,27.9 cm,26.19cm
Practical Design Of Steel Structure,Behaviour and Ultimate Strength of Plates and Possible Failure Modes,What is the fundamental path in graph?,line along load axis up to P > Pcr,line along load axis up to P < Pcr,line along load axis up to P = Pcr,line along load axis up to P ≥ Pcr,line along load axis up to P = Pcr
Practical Design Of Steel Structure,Behaviour and Ultimate Strength of Plates and Possible Failure Modes,Which of the following is true about secondary path?,lateral displacement increases indefinitely at constant load,lateral displacement decreases indefinitely at constant load,lateral displacement remains same at constant load,lateral displacement increases indefinitely and decreases at constant load,lateral displacement increases indefinitely at constant load
Practical Design Of Steel Structure,Behaviour and Ultimate Strength of Plates and Possible Failure Modes,Which of the following statement is true?,plate cannot carry loads higher than elastic critical load,plate cannot carry loads lesser than elastic critical load,secondary path for a plate is unstable,secondary path for a plate is stable,secondary path for a plate is stable
Practical Design Of Steel Structure,Behaviour and Ultimate Strength of Plates and Possible Failure Modes,What is apparent modulus of elasticity?,ratio of average strain carried by plate to average stress,ratio of average stress carried by plate to average strain,product of average strain carried by plate to average stress,product of average stress carried by plate to average strain,ratio of average stress carried by plate to average strain
Practical Design Of Steel Structure,Behaviour and Ultimate Strength of Plates and Possible Failure Modes,The effective width of hot-rolled and welded plates is given by,be/b = α √(fy/fcr),be/b = α √(fcr x fy),be/b = α √(fcr +fy),be/b = α √(fcr/fy),be/b = α √(fcr/fy)
Practical Design Of Steel Structure,Behaviour and Ultimate Strength of Plates and Possible Failure Modes,The effective width of cold-formed steel sections is given by,be/b = (fcr/fy)[1-0.22√(fcr/fy)].,be/b = (fcr/fy)[1+0.22√(fcr/fy)].,be/b = (fy/fcr)[1-0.22√(fcr/fy)].,be/b = (fcr/fy)[1+0.22√(fy/fcr)].,be/b = (fcr/fy)[1-0.22√(fcr/fy)].
